abordabilidad#n	bn:00006456n
abordable#a	bn:00097394a
abordar#v	bn:00083708v	bn:00084527v	bn:00082339v	bn:00086332v	bn:00082230v	bn:00088741v	bn:00082734v	bn:00094722v	bn:00094723v	bn:00085710v	bn:00083424v	bn:00082732v
abordo_inducido#n	bn:00046537n
a_bordo#r	bn:00114065r	bn:00114067r
aborigen#a	bn:00096168a	bn:00097805a	bn:00096167a
aborigen_australiano#n	bn:00000351n
aborigen#n	bn:00000351n	bn:00000367n
aborrecedor#n	bn:00000365n
aborrecer#v	bn:00086717v	bn:00082136v
aborrecible#a	bn:00107669a	bn:00096135a	bn:00096164a
aborrecimiento#n	bn:00004710n	bn:00000298n	bn:00027620n
abortar#v	bn:00082150v	bn:00083024v	bn:00082151v	bn:00082149v
abortista#n	bn:00000375n
abortiva#a	bn:00096170a
abortivo#a	bn:00096170a	bn:00096171a
abortivo#n	bn:00000370n
aborto_con_medicamentos#n	bn:00000374n
aborto_espontáneo#n	bn:00055276n
aborto_inducido#n	bn:00046537n	bn:00000372n
aborto_inminente#n	bn:00046024n
aborto#n	bn:00036308n	bn:00055276n	bn:00000372n	bn:00000373n	bn:00000369n
aborto_natural#n	bn:00055276n
aborto_tubárico#n	bn:00029595n
abortus#n	bn:00000376n
abotonador#n	bn:00014320n
abotonar#v	bn:00084325v	bn:00084326v
abovedado#a	bn:00101679a	bn:00097441a
abracadabra#n	bn:00000381n
abraham_lincoln#n	bn:00000388n
abraham#n	bn:00000386n
abraham_stoker#n	bn:00000389n
abrahán#n	bn:00000386n
abramis_brama#n	bn:00012946n	bn:00000391n
abramis#n	bn:00000390n
abra#n	bn:00046812n
abranquífero#a	bn:00096179a
abrasado#a	bn:00096523a
abrasador#a	bn:00110184a	bn:00110706a	bn:00098569a	bn:00096306a
abrasarse#v	bn:00084283v	bn:00084276v
abrasar#v	bn:00093351v	bn:00084273v	bn:00084283v	bn:00091432v	bn:00084271v	bn:00083516v
abrasión#n	bn:00000394n	bn:00000393n	bn:00000392n
abrasividad#n	bn:00000395n
abrasivo#a	bn:00096180a
abrasivo#n	bn:00000383n
abrazadera_de_tubo#n	bn:00062573n
abrazadera#n	bn:00012595n	bn:00010764n	bn:00019674n	bn:00019425n	bn:00019675n
abrazadera_real#n	bn:00068440n
abrazamiento#n	bn:00019811n	bn:00030497n
abrazarse#v	bn:00086134v
abrazar#v	bn:00085497v	bn:00082384v	bn:00086134v	bn:00086135v	bn:00083805v	bn:00089504v
abrazo_apasionado#n	bn:00019811n
abrazo#n	bn:00019809n	bn:00019811n	bn:00024310n	bn:00030497n
abreacción#n	bn:00000397n
abreboca#n	bn:00005048n
abrebotellas#n	bn:00012354n
abrecartas#n	bn:00050814n
abrelatas#n	bn:00015108n
abrevadero#n	bn:00053185n	bn:00073037n
abreviación#n	bn:00000398n	bn:00000240n	bn:00024531n	bn:00000239n	bn:00071268n
abreviada#a	bn:00096125a
abreviado#a	bn:00110127a	bn:00096183a	bn:00096125a
abreviador#n	bn:00000241n
abreviar#v	bn:00093669v	bn:00093670v	bn:00082127v	bn:00093666v	bn:00093668v	bn:00082392v	bn:00082128v
abreviatura#n	bn:00071268n	bn:00000398n	bn:00000240n	bn:00000239n
abridger#n	bn:00000241n
abridor#n	bn:00012354n	bn:00059093n	bn:00059092n
abrigadero#n	bn:00071024n
abrigar#v	bn:00093607v	bn:00087684v
abrigo_de_marta#n	bn:00068708n
abrigo_de_pieles#n	bn:00036886n
abrigo_de_visón#n	bn:00055188n
abrigo_encapuchado#n	bn:00015684n
abrigo#n	bn:00041606n	bn:00059770n	bn:00071019n	bn:00020184n	bn:00059855n	bn:00047823n	bn:00071020n
abrigos_y_chaquetas#v	bn:00087962v
abrillantador#n	bn:00063336n
abrillantar_con_cera#v	bn:00093753v
abrillantar#v	bn:00091821v	bn:00084189v	bn:00084052v
abril#n	bn:00005169n
abrir_brecha#v	bn:00083898v
abrir_fuego#v	bn:00088225v
abrirse_camino#v	bn:00091759v
abrirse_paso#v	bn:00083991v
abrirse#v	bn:00091176v	bn:00086356v	bn:00086501v	bn:00091167v	bn:00083647v	bn:00091171v
abrir_trincheras#v	bn:00087081v
abrir_una_zanja#v	bn:00087081v
abrir#v	bn:00095414v	bn:00091169v	bn:00091170v	bn:00091168v	bn:00091166v	bn:00084053v	bn:00095412v	bn:00091167v	bn:00091165v	bn:00091173v
abrir_zanjas#v	bn:00095151v	bn:00087081v
abr#n	bn:00005169n
abrochador#n	bn:00014320n
abrochar#v	bn:00084132v	bn:00084326v
abrocoma#n	bn:00000399n
abrocome#n	bn:00000400n
abrocomidae#n	bn:00000400n
abrogación#n	bn:00000401n
abrogar#v	bn:00082148v	bn:00082161v
abrojo#n	bn:00014922n
abroncar#v	bn:00084161v
abronia_maritima#n	bn:00000407n
abronia#n	bn:00000403n
abronia_villosa#n	bn:00000409n
abrótano_hembra#n	bn:00058078n
abrótano_macho#n	bn:00039856n
abrótano#n	bn:00039856n	bn:00005963n
abrumador#a	bn:00111551a	bn:00108119a
abrumar#v	bn:00091320v	bn:00093225v	bn:00086114v	bn:00086543v	bn:00087072v	bn:00089273v	bn:00094665v	bn:00091282v	bn:00095703v
abrupta#a	bn:00111186a
abruptamente#r	bn:00114089r	bn:00116676r
abrupto#a	bn:00096187a	bn:00111186a	bn:00111415a	bn:00096188a
abruzos#n	bn:00000416n
abruzzi_e_molise#n	bn:00000416n
absceso_gingival#n	bn:00042213n
absceso#n	bn:00000418n
absceso_subareolar#n	bn:00053752n
abscindir#v	bn:00082163v
abscisa#n	bn:00000420n
abscisión#n	bn:00000422n	bn:00000421n
abseil#n	bn:00000425n
abseil#v	bn:00082165v
absenta#n	bn:00000437n
absentismo_escolar#n	bn:00044708n
absentismo_laboral#n	bn:00000435n
absentismo#n	bn:00044708n	bn:00000435n
absentista#n	bn:00057817n	bn:00053013n
ábsida#n	bn:00005185n
ábside#n	bn:00005185n
absintio#n	bn:00000437n	bn:00000438n	bn:00081647n
absolución#n	bn:00001010n	bn:00000457n	bn:00001011n
absoluta#a	bn:00096195a
absolutamente#r	bn:00114091r	bn:00114092r
absolutidad#n	bn:00000455n
absolutismo#n	bn:00000458n	bn:00000459n	bn:00000460n	bn:00000461n
absolutista#a	bn:00096200a
absolutista#n	bn:00000462n
absolut#n	bn:00000440n
absoluto#a	bn:00096196a	bn:00096195a	bn:00097285a	bn:00108058a	bn:00104039a	bn:00104032a	bn:00096198a	bn:00096197a	bn:00103392a
absoluto#n	bn:00000440n
absolvedor#a	bn:00096202a
absolvedor#n	bn:00000463n
absolver#v	bn:00082168v	bn:00082167v	bn:00086991v	bn:00092774v	bn:00082283v
absorbancia#n	bn:00000464n
absorbedor#n	bn:00000469n
absorbencia#n	bn:00000466n
absorbente#a	bn:00096207a	bn:00109281a
absorbente#n	bn:00028758n	bn:00000469n	bn:00000467n
absorbente_nuclear#n	bn:00000469n
absorber_el_shock#v	bn:00086414v
absorberse#v	bn:00082175v
absorber#v	bn:00082177v	bn:00082171v	bn:00082173v	bn:00082202v	bn:00094048v	bn:00082170v	bn:00087196v	bn:00082169v	bn:00082174v	bn:00082172v
absorbible#a	bn:00096203a
absorbida#a	bn:00096205a
absorbido#a	bn:00096205a
absorción#n	bn:00000474n	bn:00000478n	bn:00079282n	bn:00000471n	bn:00072852n	bn:00000472n	bn:00075937n
absortividad#n	bn:00000478n
absorto#a	bn:00096204a	bn:00098233a
absorver#v	bn:00082176v	bn:00094566v	bn:00082174v
abstemio#a	bn:00101854a
abstemio#n	bn:00076363n
abstención#n	bn:00000486n	bn:00076364n
abstenerse#v	bn:00082179v	bn:00082178v	bn:00088453v
abstener#v	bn:00082178v
abstinencia#n	bn:00000486n	bn:00076364n	bn:00000485n	bn:00000487n
abstinencia_sexual#n	bn:00017021n
abstinente#a	bn:00096211a
abstinente#n	bn:00000483n
abstraccionismo#n	bn:00000490n
abstraccionista#n	bn:00000491n
abstracción#n	bn:00000488n	bn:00000498n	bn:00000499n	bn:00013338n	bn:00000497n	bn:00000495n	bn:00000501n	bn:00000492n
abstractar#v	bn:00082183v
abstractivo#a	bn:00096215a
abstract#n	bn:00000489n
abstracto#a	bn:00096213a	bn:00096212a	bn:00096214a
abstraerse#v	bn:00082175v
abstraer#v	bn:00082182v	bn:00082180v
abstraído#a	bn:00096194a
abstruso#a	bn:00096216a
absuelto#a	bn:00096353a	bn:00096201a
absurdamente#r	bn:00114096r
absurdidad#n	bn:00000506n	bn:00000505n
absurdo#a	bn:00102789a	bn:00096217a	bn:00106748a	bn:00096218a
absurdo#n	bn:00000504n	bn:00000505n	bn:00023888n
abubilla_europea#n	bn:00031842n
abubilla#n	bn:00044715n
abuchear#v	bn:00083133v	bn:00083771v	bn:00084650v
abucheo#n	bn:00016698n	bn:00010608n	bn:00008675n
abu_dabi#n	bn:00000508n
abudefduf#n	bn:00000512n
abudefduf_saxatilis#n	bn:00000513n
abu_dhabi#n	bn:00000508n
abuela_materna#n	bn:00041363n
abuela#n	bn:00041363n	bn:00009695n	bn:00041313n	bn:00058844n
abuela_paterna#n	bn:00041363n
abuelita#n	bn:00056781n	bn:00041313n	bn:00041374n
abuelito#n	bn:00041310n
abuelo_materno#n	bn:00041363n
abuelo#n	bn:00041363n	bn:00041536n	bn:00041310n	bn:00041313n
abuelo_paterno#n	bn:00041363n
abuelos#n	bn:00041363n
abue#n	bn:00041313n
a_buena_fé#r	bn:00116431r
abuja#n	bn:00049699n
abukir#n	bn:00000515n
abulia#n	bn:00000377n	bn:00046384n
abúlico#a	bn:00096172a
abulón#n	bn:00000205n
abultado#a	bn:00099003a	bn:00104084a	bn:00099001a
abultar#v	bn:00084214v	bn:00094671v	bn:00084212v
abundamiento#n	bn:00000517n
abundancia#n	bn:00000517n	bn:00001785n	bn:00080746n	bn:00032265n	bn:00022777n
